 ispLEVER Classic 2.1.00.02.49.20 Fitter Report File 
Project Name,homework10
Project Path,C:\Users\ethan\OneDrive - California Institute of Technology\2024-25\2 - Winter Term\EE CS 10a\reference\Homework 10\isplever
Project Fitted on,Wed Mar 19 05:13:35 2025

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
1,GND,-,,,,,
2,TDI,-,,,,,
3,VCCIO0,-,,,,,
4,I_O,0,C12,,,,
5,I_O,0,C10,,,,
6,I_O,0,C8,,LVCMOS18,Input,ProgramDB15
7,I_O,0,C6,,LVCMOS18,Tri-Out,RD
8,I_O,0,C4,,LVCMOS18,Bidir,WR
9,I_O,0,C2,,LVCMOS18,Bidir,Accum6
10,GNDIO0,-,,,,,
11,I_O,0,D14,,LVCMOS18,Tri-Out,ProgramAB0
12,I_O,0,D12,,LVCMOS18,Tri-Out,ProgramAB2
13,I_O,0,D10,,LVCMOS18,Tri-Out,ProgramAB1
14,I_O,0,D8,,LVCMOS18,Tri-Out,ProgramAB8
15,I_O,0,D6,,LVCMOS18,Tri-Out,ProgramAB9
16,I_O,0,D4,,LVCMOS18,Tri-Out,ProgramAB10
17,IN0,0,,*,LVCMOS18,Input,ProgramDB7
18,NC,-,,,,,
19,VCCIO0,-,,,,,
20,IN1,0,,*,LVCMOS18,Input,ProgramDB6
21,I_O,0,E2,,LVCMOS18,Input,ProgramDB13
22,I_O,0,E4,,LVCMOS18,Input,ProgramDB12
23,I_O,0,E6,,,,
24,I_O,0,E8,,,,
25,I_O,0,E10,,,,
26,I_O,0,E12,,,,
27,GNDIO0,-,,,,,
28,I_O,0,F2,,LVCMOS18,Tri-Out,DataAB2
29,I_O,0,F4,,LVCMOS18,Bidir,XReg0
30,I_O,0,F6,,LVCMOS18,Bidir,SReg0
31,I_O,0,F8,,,,
32,I_O,0,F10,,LVCMOS18,Tri-Out,DataAB5
33,I_O,0,F12,,LVCMOS18,Tri-Out,DataAB0
34,VCCIO0,-,,,,,
35,TCK,-,,,,,
36,VCC,-,,,,,
37,GND,-,,,,,
38,IN2,0,,*,LVCMOS18,Input,ProgramDB5
39,I_O,0,G12,,,,
40,I_O,0,G10,,LVCMOS18,Tri-Out,DataAB7
41,I_O,0,G8,,,,
42,I_O,0,G6,,,,
43,I_O,0,G4,,,,
44,I_O,0,G2,,LVCMOS18,Tri-Out,IO
45,IN3,0,,*,LVCMOS18,Input,ProgramDB4
46,GNDIO0,-,,,,,
47,VCCIO0,-,,,,,
48,I_O,0,H12,,,,
49,I_O,0,H10,,,,
50,I_O,0,H8,,,,
51,I_O,0,H6,,LVCMOS18,Bidir,DataDB6
52,I_O,0,H4,,LVCMOS18,Bidir,DataDB5
53,I_O,0,H2,,LVCMOS18,Bidir,DataDB2
54,INCLK1,0,,*,LVCMOS18,Input,ProgramDB10
55,GNDIO1,-,,,,,
56,INCLK2,1,,*,LVCMOS18,Input,ProgramDB9
57,VCC,-,,,,,
58,I_O,1,I2,,LVCMOS18,Tri-Out,ProgramAB7
59,I_O,1,I4,,LVCMOS18,Tri-Out,ProgramAB4
60,I_O,1,I6,,LVCMOS18,Tri-Out,ProgramAB3
61,I_O,1,I8,,LVCMOS18,Bidir,DataDB7
62,I_O,1,I10,,LVCMOS18,Bidir,DataDB3
63,I_O,1,I12,,LVCMOS18,Bidir,DataDB4
64,VCCIO1,-,,,,,
65,GNDIO1,-,,,,,
66,I_O,1,J2,,LVCMOS18,Bidir,Accum4
67,I_O,1,J4,,LVCMOS18,Bidir,Accum3
68,I_O,1,J6,,LVCMOS18,Bidir,Accum2
69,I_O,1,J8,,LVCMOS18,Bidir,Accum1
70,I_O,1,J10,,LVCMOS18,Bidir,Accum0
71,I_O,1,J12,,LVCMOS18,Bidir,Flags0
72,IN4,0,,*,LVCMOS18,Input,ProgramDB3
73,GND,-,,,,,
74,TMS,-,,,,,
75,VCCIO1,-,,,,,
76,I_O,1,K12,,LVCMOS18,Tri-Out,Flags4
77,I_O,1,K10,,LVCMOS18,Tri-Out,ProgramAB12
78,I_O,1,K8,,LVCMOS18,Bidir,Flags5
79,I_O,1,K6,,LVCMOS18,Tri-Out,Flags6
80,I_O,1,K4,,LVCMOS18,Bidir,Flags7
81,I_O,1,K2,,LVCMOS18,Tri-Out,ProgramAB11
82,GNDIO1,-,,,,,
83,I_O,1,L14,,,,
84,I_O,1,L12,,LVCMOS18,Bidir,Flags3
85,I_O,1,L10,,LVCMOS18,Bidir,Flags1
86,I_O,1,L8,,LVCMOS18,Bidir,Flags2
87,I_O,1,L6,,LVCMOS18,Bidir,Accum5
88,I_O,1,L4,,LVCMOS18,Bidir,Accum7
89,IN5,1,,*,LVCMOS18,Input,ProgramDB2
90,NC,-,,,,,
91,VCCIO1,-,,,,,
92,IN6,1,,*,LVCMOS18,Input,ProgramDB1
93,I_O,1,M2,,LVCMOS18,Tri-Out,DataAB4
94,I_O,1,M4,,LVCMOS18,Tri-Out,DataAB1
95,I_O,1,M6,,,,
96,I_O,1,M8,,,,
97,I_O,1,M10,,LVCMOS18,Tri-Out,DataAB6
98,I_O,1,M12,,LVCMOS18,Tri-Out,DataAB3
99,GNDIO1,-,,,,,
